,source,target,Calories Burnt,Enjoyment,Employment Job,Activity
0,Activity,Employment Job,2.5,35,Student,Reading
1,Activity,Employment Job,4.5,20,Student,Swimming
2,Activity,Employment Job,8,5,Student,Sleeping
3,Activity,Employment Job,1,5,Student,Travelling
4,Activity,Employment Job,8,30,Student,Working out
5,Activity,Employment Job,1,35,Trainee,Reading
6,Activity,Employment Job,3,40,Trainee,Travelling
7,Activity,Employment Job,2,40,Trainee,Swimming
8,Activity,Employment Job,6,5,Trainee,Sleeping
9,Activity,Employment Job,12,45,Trainee,Working out
10,Activity,Employment Job,4.5,20,Administrator,Swimming
11,Activity,Employment Job,9,10,Administrator,Sleeping
12,Activity,Employment Job,7.5,50,Administrator,Working out
13,Activity,Employment Job,1.5,35,Administrator,Reading
14,Activity,Employment Job,1.5,50,Administrator,Travelling
15,Activity,Employment Job,11,55,Manager,Working out
16,Activity,Employment Job,2,45,Manager,Reading
17,Activity,Employment Job,7.5,10,Manager,Sleeping
18,Activity,Employment Job,1.5,90,Manager,Travelling
19,Activity,Employment Job,2,40,Manager,Swimming
20,Activity,Employment Job,3,35,Pensioner,Reading
21,Activity,Employment Job,9,15,Pensioner,Swimming
22,Activity,Employment Job,9,15,Pensioner,Sleeping
23,Activity,Employment Job,3,60,Pensioner,Travelling
24,Activity,Employment Job,0,0,Pensioner,Working out
